,location,country_code,latitude,longitude,confirmed,dead,recovered,velocity_confirmed,velocity_dead,velocity_recovered,updated
8671,Cipotânea,br,-20.907222,-43.34877609999999,0,0.0,,0,0,0,2020-06-13 00:19:52.006159+00:00
8672,Cocos,br,-14.1823449,-44.5356862,7,0.0,,1,0,0,2020-06-13 00:19:52.214058+00:00
8673,Cachoeira dos Índios,br,-6.925821399999999,-38.6741601,22,1.0,,8,0,0,2020-06-13 00:19:47.904846+00:00
8674,"Carroll County, Indiana",us,40.542415,-86.5400674,1107,14.0,,9,0,0,2020-12-17 17:45:41.346197+00:00
8675,Dortmund,de,51.5135872,7.465298100000001,12083,123.0,,0,0,0,2020-12-17 00:00:00+00:00
8676,"Limestone County, Texas",us,31.5461078,-96.663812,1119,20.0,0.0,12,0,0,2020-12-17 17:48:16.112082+00:00
8677,Murmansk Oblast,ru,67.84426739999999,35.0884102,32258,574.0,29476.0,0,0,0,2020-12-18 17:54:55.077257+00:00
8678,"Richmond County, Virginia",us,37.9175609,-76.7105632,573,5.0,0.0,11,0,0,2020-12-17 17:48:16.112082+00:00
8679,"Wicomico County, Maryland",us,38.3941813,-75.667356,4054,69.0,,36,0,0,2020-12-17 17:45:41.346197+00:00
8680,Dammam,sa,26.4206828,50.0887943,764,1.0,85.0,0,0,0,2020-07-01 06:48:18.204877+00:00
8681,Al Madda,sa,26.8040118,37.9572703,1,0.0,0.0,0,0,0,2020-07-01 06:48:18.747068+00:00
8682,Primorsky Krai,ru,45.0525641,135.0,25944,308.0,18316.0,0,0,0,2020-12-18 17:54:55.077257+00:00
8683,Sevastopol,ru,44.61665,33.5253671,5602,185.0,5233.0,0,0,0,2020-12-18 17:54:55.077257+00:00
8684,Fukui,jp,36.0641386,136.219623,122,8.0,113.0,0,0,0,2020-06-13 00:21:00.696874+00:00
8685,"Barbour County, Alabama",us,31.8172896,-85.35496499999999,1309,30.0,,13,0,0,2020-12-17 17:45:41.346197+00:00
8686,"Aleutians East County, Alaska",us,55.53880059999999,-161.8988535,40,0.0,0.0,0,0,0,2020-12-17 17:48:16.112082+00:00
8687,"Miller County, Arkansas",us,33.3335556,-93.86553029999999,2423,24.0,,29,0,0,2020-12-17 17:45:41.346197+00:00
8688,"Howard County, Iowa",us,43.3819496,-92.38136209999999,645,15.0,,6,0,0,2020-12-17 17:45:41.346197+00:00
8689,Ilha de Itamaracá,br,-7.748077599999999,-34.8306327,93,3.0,,0,0,0,2020-06-13 00:20:02.285678+00:00
8690,"Lucas County, Iowa",us,40.9912021,-93.33889169999999,441,6.0,,7,0,0,2020-12-17 17:45:41.346197+00:00
8691,Monsenhor Hipólito,br,-6.997017,-41.0269849,12,1.0,,0,0,0,2020-06-13 00:20:13.866700+00:00
8692,Al Hinakiyyah,sa,24.9073032,40.5330604,49,0.0,31.0,0,0,0,2020-07-01 06:48:19.168596+00:00
8693,"Boyd County, Nebraska",us,42.88237160000001,-98.70407499999999,161,2.0,,1,0,0,2020-12-17 17:45:41.346197+00:00
8694,North-West,za,-26.6638599,25.2837585,36187,0.0,,0,0,0,2020-12-18 17:48:42.837948+00:00
8695,Jiading district,cn,31.37586899999999,121.265374,9,2.0,7.0,0,0,0,2020-12-18 17:54:48.508171+00:00
8696,Aratuba,br,-4.409114,-39.0085346,53,1.0,,2,0,0,2020-06-13 00:19:42.955457+00:00
8697,Capivari,br,-22.9946056,-47.50945979999999,81,0.0,,4,0,0,2020-06-13 00:19:49.950279+00:00
8698,"Taylor County, Florida",us,30.0993767,-83.67739279999999,1797,24.0,,23,0,0,2020-12-17 17:45:41.346197+00:00
8699,"Adams County, Iowa",us,41.0652066,-94.6863782,219,2.0,,1,0,0,2020-12-17 17:45:41.346197+00:00
8700,"Grant County, South Dakota",us,45.1752383,-96.75070350000001,791,20.0,0.0,4,0,0,2020-12-17 17:48:16.112082+00:00
8701,"Bledsoe County, Tennessee",us,35.6028856,-85.2308414,1401,6.0,0.0,21,0,0,2020-12-17 17:48:16.112082+00:00
8702,Al Uwayqilah,sa,30.354802,42.2461069,0,0.0,1.0,0,0,0,2020-06-03 15:20:05.844102+00:00
8703,Markazi,ir,34.612305,49.8547266,882,,,0,0,0,2020-07-01 06:48:22.220680+00:00
8704,Puxinanã,br,-7.1467711,-35.9624008,82,0.0,,11,0,0,2020-06-13 00:20:24.312124+00:00
8705,Vogtlandkreis,de,50.4884342,12.2774991,3830,132.0,,0,0,0,2020-12-17 00:00:00+00:00
8706,"Atchison County, Missouri",us,40.42389600000001,-95.4777811,253,4.0,,0,0,0,2020-12-18 17:45:39.083225+00:00
8707,"Garden County, Nebraska",us,41.7369721,-102.2547919,85,0.0,,0,0,0,2020-12-18 17:45:39.083225+00:00
8708,Wuxi,cn,31.491169,120.31191,55,0.0,55.0,0,0,0,2020-12-18 17:54:48.508171+00:00
8709,Komi Republic,ru,63.8630539,54.831269,26371,483.0,22925.0,0,0,0,2020-12-18 17:54:55.077257+00:00
8710,Vacaria,br,-28.5071196,-50.941176,83,5.0,,0,0,0,2020-06-13 00:20:38.789164+00:00
8711,São Vicente do Seridó,br,-6.933743,-36.4011912,18,0.0,,0,0,0,2020-06-13 00:20:35.402856+00:00
8712,Caiçara do Rio do Vento,br,-5.757070199999999,-36.0015548,14,1.0,,0,0,0,2020-06-13 00:19:48.284353+00:00
8713,Bom Sucesso,br,-21.0350635,-44.7593214,5,0.0,,0,0,0,2020-06-13 00:19:46.225779+00:00
8714,Caetité,br,-14.0648657,-42.48588669999999,16,0.0,,1,0,0,2020-06-13 00:19:48.097907+00:00
8715,Campos de Júlio,br,-13.7214512,-59.2604936,14,0.0,,0,0,0,2020-06-13 00:19:49.257309+00:00
8716,Curral de Cima,br,-6.716045299999999,-35.2675339,11,0.0,,1,0,0,2020-06-13 00:19:55.208749+00:00
8717,Fundão,br,-19.9375242,-40.4081412,191,9.0,,10,0,0,2020-06-13 00:19:59.212861+00:00
8718,Mendes,br,-22.5254843,-43.7311768,43,2.0,,0,0,0,2020-06-13 00:20:12.976353+00:00
